None,Zippy,12,1,1189.87,0.59
None,Zippy,13,0,1239.08,0.53
None,Zippy,13,2,1318.56,0.60
None,Zippy,13,1,1276.66,0.38
None,Zippy,14,0,1324.53,0.37
None,Zippy,14,2,1404.56,0.45
None,Zippy,14,1,1362.97,0.27
None,Zippy,15,0,1411.18,0.28
None,Zippy,15,2,1489.17,0.37
None,Zippy,15,1,1448.50,0.22
None,Zippy,16,0,1494.80,0.23
None,Zippy,16,2,1574.06,0.33
None,Zippy,16,1,1533.33,0.19
None,Zippy,17,2,1659.30,0.32
None,Zippy,17,1,1617.86,0.17
None,Zippy,17,0,1580.39,0.21
None,Zippy,18,1,1704.86,0.17
None,Zippy,18,2,1746.07,0.33
None,Zippy,18,0,1665.50,0.20
None,Zippy,19,1,1791.68,0.19
None,Zippy,19,2,1832.56,0.38
None,Zippy,19,0,1752.00,0.21
None,Zippy,20,1,1878.61,0.22
None,Zippy,20,2,1920.62,0.48
None,Zippy,20,0,1838.99,0.24
None,Zippy,21,0,1925.26,0.30
None,Zippy,21,2,2007.57,0.70
None,Zippy,21,1,1964.84,0.30
None,Zippy,22,0,2012.07,0.45
None,Zippy,22,1,2051.53,0.48
None,Zippy,22,2,2093.48,1.21
None,Zippy,23,1,2139.27,0.91
None,Zippy,23,0,2098.64,0.78
